metric: gmean, units: ms
+------------------------------------------+---------+-------------+---------------------+
| name of test                             |  AVX2   | AVX512_SKX  | AVX512_SKX vs AVX2  |
| invert::256    H::1 -> H::1              | 0.0000  |   0.0000    |        0.97         |
| invert::4096   H::1 -> H::1              | 0.0002  |   0.0001    |        1.35         |
| invert::16384  H::1 -> H::1              | 0.0009  |   0.0008    |        1.13         |
| invert::256    I::1 -> I::1              | 0.0000  |   0.0000    |        1.67         |
| invert::4096   I::1 -> I::1              | 0.0004  |   0.0003    |        1.36         |
| invert::16384  I::1 -> I::1              | 0.0019  |   0.0016    |        1.14         |
| invert::256    L::1 -> L::1              | 0.0000  |   0.0000    |        1.36         |
| invert::4096   L::1 -> L::1              | 0.0009  |   0.0008    |        1.12         |
| invert::16384  L::1 -> L::1              | 0.0037  |   0.0033    |        1.12         |
| invert::256    Q::1 -> Q::1              | 0.0000  |   0.0000    |        1.51         |
| invert::4096   Q::1 -> Q::1              | 0.0009  |   0.0008    |        1.11         |
| invert::16384  Q::1 -> Q::1              | 0.0037  |   0.0033    |        1.12         |
| invert::256    b::1 -> b::1              | 0.0000  |   0.0001    |         0.5         |
| invert::4096   b::1 -> b::1              | 0.0001  |   0.0001    |        1.03         |
| invert::16384  b::1 -> b::1              | 0.0004  |   0.0003    |        1.22         |
| invert::256    h::1 -> h::1              | 0.0000  |   0.0000    |        1.38         |
| invert::4096   h::1 -> h::1              | 0.0002  |   0.0001    |        1.46         |
| invert::16384  h::1 -> h::1              | 0.0009  |   0.0008    |        1.14         |
| invert::256    i::1 -> i::1              | 0.0000  |   0.0000    |        1.31         |
| invert::4096   i::1 -> i::1              | 0.0004  |   0.0003    |        1.37         |
| invert::16384  i::1 -> i::1              | 0.0019  |   0.0014    |        1.35         |
| invert::256    l::1 -> l::1              | 0.0001  |   0.0000    |        1.58         |
| invert::4096   l::1 -> l::1              | 0.0009  |   0.0008    |        1.13         |
| invert::16384  l::1 -> l::1              | 0.0037  |   0.0033    |        1.14         |
| invert::256    q::1 -> q::1              | 0.0001  |   0.0000    |        1.63         |
| invert::4096   q::1 -> q::1              | 0.0009  |   0.0008    |        1.14         |
| invert::16384  q::1 -> q::1              | 0.0037  |   0.0033    |        1.13         |
| left_shift::256    B::1 B::1 -> B::1     | 0.0001  |   0.0001    |         0.9         |
| left_shift::4096   B::1 B::1 -> B::1     | 0.0009  |   0.0006    |        1.47         |
