metric: gmean, units: ms
+------------------------------------------+---------+-------------+---------------------+
| name of test                             |  AVX2   | AVX512_SKX  | AVX512_SKX vs AVX2  |
| right_shift::4096   I::1 I::1 -> I::1    | 0.0007  |   0.0006    |         1.3         |
| right_shift::16384  I::1 I::1 -> I::1    | 0.0028  |   0.0022    |        1.31         |
| right_shift::256    L::1 L::1 -> L::1    | 0.0001  |   0.0001    |        1.76         |
| right_shift::4096   L::1 L::1 -> L::1    | 0.0015  |   0.0011    |        1.35         |
| right_shift::16384  L::1 L::1 -> L::1    | 0.0067  |   0.0044    |        1.52         |
| right_shift::256    Q::1 Q::1 -> Q::1    | 0.0001  |   0.0000    |        1.97         |
| right_shift::4096   Q::1 Q::1 -> Q::1    | 0.0014  |   0.0011    |        1.21         |
| right_shift::16384  Q::1 Q::1 -> Q::1    | 0.0059  |   0.0044    |        1.35         |
| right_shift::256    b::1 b::1 -> b::1    | 0.0001  |   0.0001    |        0.87         |
| right_shift::4096   b::1 b::1 -> b::1    | 0.0010  |   0.0006    |         1.5         |
| right_shift::16384  b::1 b::1 -> b::1    | 0.0037  |   0.0023    |         1.6         |
| right_shift::256    h::1 h::1 -> h::1    | 0.0000  |   0.0000    |        1.38         |
| right_shift::4096   h::1 h::1 -> h::1    | 0.0007  |   0.0004    |        1.63         |
| right_shift::16384  h::1 h::1 -> h::1    | 0.0032  |   0.0020    |        1.63         |
| right_shift::256    i::1 i::1 -> i::1    | 0.0001  |   0.0000    |        2.44         |
| right_shift::4096   i::1 i::1 -> i::1    | 0.0009  |   0.0006    |        1.49         |
| right_shift::16384  i::1 i::1 -> i::1    | 0.0032  |   0.0020    |        1.64         |
| right_shift::256    l::1 l::1 -> l::1    | 0.0002  |   0.0002    |        1.23         |
| right_shift::4096   l::1 l::1 -> l::1    | 0.0034  |   0.0028    |        1.24         |
| right_shift::16384  l::1 l::1 -> l::1    | 0.0138  |   0.0116    |        1.19         |
| right_shift::256    q::1 q::1 -> q::1    | 0.0002  |   0.0002    |         1.2         |
| right_shift::4096   q::1 q::1 -> q::1    | 0.0034  |   0.0028    |        1.24         |
| right_shift::16384  q::1 q::1 -> q::1    | 0.0137  |   0.0116    |        1.19         |
| square::256    B::1 -> B::1              | 0.0000  |   0.0000    |         0.9         |
| square::4096   B::1 -> B::1              | 0.0002  |   0.0002    |        0.95         |
| square::16384  B::1 -> B::1              | 0.0007  |   0.0008    |        0.95         |
| square::256    H::1 -> H::1              | 0.0000  |   0.0000    |        0.89         |
| square::4096   H::1 -> H::1              | 0.0002  |   0.0002    |        1.09         |
| square::16384  H::1 -> H::1              | 0.0010  |   0.0009    |        1.08         |
| square::256    I::1 -> I::1              | 0.0000  |   0.0000    |        1.61         |
| square::4096   I::1 -> I::1              | 0.0004  |   0.0003    |        1.33         |
| square::16384  I::1 -> I::1              | 0.0019  |   0.0018    |        1.05         |
| square::256    L::1 -> L::1              | 0.0001  |   0.0000    |        2.21         |
| square::4096   L::1 -> L::1              | 0.0016  |   0.0009    |        1.69         |
| square::16384  L::1 -> L::1              | 0.0062  |   0.0037    |        1.69         |
| square::256    Q::1 -> Q::1              | 0.0001  |   0.0000    |         2.4         |
| square::4096   Q::1 -> Q::1              | 0.0016  |   0.0009    |        1.69         |
| square::16384  Q::1 -> Q::1              | 0.0062  |   0.0037    |        1.69         |
| square::256    b::1 -> b::1              | 0.0000  |   0.0000    |        0.82         |
| square::4096   b::1 -> b::1              | 0.0002  |   0.0002    |        0.95         |
| square::16384  b::1 -> b::1              | 0.0007  |   0.0007    |        1.04         |
| square::256    h::1 -> h::1              | 0.0000  |   0.0000    |        1.44         |
| square::4096   h::1 -> h::1              | 0.0003  |   0.0002    |        1.53         |
| square::16384  h::1 -> h::1              | 0.0010  |   0.0009    |        1.07         |
| square::256    i::1 -> i::1              | 0.0000  |   0.0000    |        1.38         |
| square::4096   i::1 -> i::1              | 0.0004  |   0.0003    |         1.3         |
| square::16384  i::1 -> i::1              | 0.0020  |   0.0015    |        1.29         |
| square::256    l::1 -> l::1              | 0.0001  |   0.0000    |        2.78         |
| square::4096   l::1 -> l::1              | 0.0016  |   0.0009    |        1.68         |
| square::16384  l::1 -> l::1              | 0.0062  |   0.0037    |        1.69         |
| square::256    q::1 -> q::1              | 0.0001  |   0.0000    |        2.47         |
| square::4096   q::1 -> q::1              | 0.0016  |   0.0009    |        1.69         |
| square::16384  q::1 -> q::1              | 0.0062  |   0.0037    |        1.69         |
| subtract::256    B::1 B::1 -> B::1       | 0.0000  |   0.0000    |        0.85         |
| subtract::4096   B::1 B::1 -> B::1       | 0.0001  |   0.0001    |         1.1         |
| subtract::16384  B::1 B::1 -> B::1       | 0.0007  |   0.0006    |        1.23         |
| subtract::256    H::1 H::1 -> H::1       | 0.0000  |   0.0000    |        1.06         |
| subtract::4096   H::1 H::1 -> H::1       | 0.0003  |   0.0002    |        1.36         |
| subtract::16384  H::1 H::1 -> H::1       | 0.0014  |   0.0011    |        1.27         |
| subtract::256    I::1 I::1 -> I::1       | 0.0000  |   0.0000    |        1.91         |
| subtract::4096   I::1 I::1 -> I::1       | 0.0007  |   0.0006    |        1.25         |
| subtract::16384  I::1 I::1 -> I::1       | 0.0028  |   0.0022    |        1.28         |
| subtract::256    L::1 L::1 -> L::1       | 0.0001  |   0.0001    |        1.32         |
| subtract::4096   L::1 L::1 -> L::1       | 0.0014  |   0.0011    |        1.28         |
| subtract::16384  L::1 L::1 -> L::1       | 0.0062  |   0.0044    |        1.41         |
| subtract::256    Q::1 Q::1 -> Q::1       | 0.0001  |   0.0000    |        1.39         |
| subtract::4096   Q::1 Q::1 -> Q::1       | 0.0013  |   0.0010    |        1.25         |
| subtract::16384  Q::1 Q::1 -> Q::1       | 0.0056  |   0.0044    |        1.27         |
| subtract::256    b::1 b::1 -> b::1       | 0.0000  |   0.0001    |        0.72         |
| subtract::4096   b::1 b::1 -> b::1       | 0.0002  |   0.0001    |        1.31         |
| subtract::16384  b::1 b::1 -> b::1       | 0.0007  |   0.0006    |        1.25         |
| subtract::256    h::1 h::1 -> h::1       | 0.0000  |   0.0000    |        1.38         |
| subtract::4096   h::1 h::1 -> h::1       | 0.0002  |   0.0002    |        1.28         |
| subtract::16384  h::1 h::1 -> h::1       | 0.0014  |   0.0011    |        1.28         |
| subtract::256    i::1 i::1 -> i::1       | 0.0001  |   0.0000    |        2.52         |
| subtract::4096   i::1 i::1 -> i::1       | 0.0007  |   0.0006    |        1.25         |
| subtract::16384  i::1 i::1 -> i::1       | 0.0024  |   0.0022    |        1.12         |
| subtract::256    l::1 l::1 -> l::1       | 0.0001  |   0.0001    |        1.71         |
| subtract::4096   l::1 l::1 -> l::1       | 0.0014  |   0.0011    |        1.28         |
| subtract::16384  l::1 l::1 -> l::1       | 0.0056  |   0.0046    |        1.21         |
| subtract::256    q::1 q::1 -> q::1       | 0.0001  |   0.0000    |        1.94         |
| subtract::4096   q::1 q::1 -> q::1       | 0.0014  |   0.0011    |        1.27         |
| subtract::16384  q::1 q::1 -> q::1       | 0.0056  |   0.0047    |         1.2         |
+------------------------------------------+---------+-------------+---------------------+
