metric: gmean, units: ms
+------------------------------------------+-----------+-------------+---------+-------------------------+-------------------+
| name of test                             | BASELINE  | AVX512_SKX  |  AVX2   | AVX512_SKX vs BASELINE  | AVX2 vs BASELINE  |
| bitwise_xor::16384  B::1 B::1 -> B::1    |  0.0009   |   0.0006    | 0.0007  |          1.53           |       1.28        |
| bitwise_xor::256    H::1 H::1 -> H::1    |  0.0000   |   0.0000    | 0.0000  |           0.8           |       1.02        |
| bitwise_xor::4096   H::1 H::1 -> H::1    |  0.0003   |   0.0002    | 0.0003  |          1.65           |       1.16        |
| bitwise_xor::16384  H::1 H::1 -> H::1    |  0.0018   |   0.0011    | 0.0014  |          1.61           |       1.28        |
| bitwise_xor::256    I::1 I::1 -> I::1    |  0.0001   |   0.0000    | 0.0000  |           2.4           |       1.29        |
| bitwise_xor::4096   I::1 I::1 -> I::1    |  0.0009   |   0.0006    | 0.0007  |          1.59           |       1.28        |
| bitwise_xor::16384  I::1 I::1 -> I::1    |  0.0036   |   0.0022    | 0.0028  |          1.63           |       1.28        |
| bitwise_xor::256    L::1 L::1 -> L::1    |  0.0001   |   0.0000    | 0.0001  |          1.93           |       1.23        |
| bitwise_xor::4096   L::1 L::1 -> L::1    |  0.0018   |   0.0011    | 0.0014  |          1.63           |       1.28        |
| bitwise_xor::16384  L::1 L::1 -> L::1    |  0.0071   |   0.0044    | 0.0062  |          1.63           |       1.16        |
| bitwise_xor::256    Q::1 Q::1 -> Q::1    |  0.0001   |   0.0000    | 0.0001  |          1.85           |       1.23        |
| bitwise_xor::4096   Q::1 Q::1 -> Q::1    |  0.0013   |   0.0010    | 0.0013  |          1.32           |       1.05        |
| bitwise_xor::16384  Q::1 Q::1 -> Q::1    |  0.0093   |   0.0044    | 0.0056  |          2.13           |       1.66        |
| bitwise_xor::256    b::1 b::1 -> b::1    |  0.0000   |   0.0000    | 0.0000  |          0.36           |        0.5        |
| bitwise_xor::4096   b::1 b::1 -> b::1    |  0.0002   |   0.0001    | 0.0002  |          1.36           |       1.08        |
| bitwise_xor::16384  b::1 b::1 -> b::1    |  0.0008   |   0.0006    | 0.0007  |          1.46           |       1.18        |
| bitwise_xor::256    h::1 h::1 -> h::1    |  0.0000   |   0.0000    | 0.0000  |          1.34           |       0.83        |
| bitwise_xor::4096   h::1 h::1 -> h::1    |  0.0003   |   0.0002    | 0.0002  |          1.75           |       1.28        |
| bitwise_xor::16384  h::1 h::1 -> h::1    |  0.0018   |   0.0011    | 0.0014  |          1.63           |       1.27        |
| bitwise_xor::256    i::1 i::1 -> i::1    |  0.0000   |   0.0000    | 0.0000  |          1.86           |       1.04        |
| bitwise_xor::4096   i::1 i::1 -> i::1    |  0.0009   |   0.0006    | 0.0007  |           1.6           |       1.28        |
| bitwise_xor::16384  i::1 i::1 -> i::1    |  0.0034   |   0.0022    | 0.0024  |          1.54           |       1.44        |
| bitwise_xor::256    l::1 l::1 -> l::1    |  0.0001   |   0.0000    | 0.0001  |          1.95           |        1.3        |
| bitwise_xor::4096   l::1 l::1 -> l::1    |  0.0018   |   0.0011    | 0.0014  |          1.63           |       1.29        |
| bitwise_xor::16384  l::1 l::1 -> l::1    |  0.0071   |   0.0046    | 0.0056  |          1.55           |       1.28        |
