metric: gmean, units: ms
+------------------------------------------+-----------+-------------+---------+-------------------------+-------------------+
| name of test                             | BASELINE  | AVX512_SKX  |  AVX2   | AVX512_SKX vs BASELINE  | AVX2 vs BASELINE  |
| logical_xor::4096   L::1 L::1 -> ?::1    |  0.0036   |   0.0036    | 0.0036  |           1.0           |        1.0        |
| logical_xor::16384  L::1 L::1 -> ?::1    |  0.0146   |   0.0146    | 0.0146  |           1.0           |        1.0        |
| logical_xor::256    Q::1 Q::1 -> ?::1    |  0.0002   |   0.0002    | 0.0002  |           1.0           |        1.0        |
| logical_xor::4096   Q::1 Q::1 -> ?::1    |  0.0036   |   0.0036    | 0.0037  |           1.0           |       0.98        |
| logical_xor::16384  Q::1 Q::1 -> ?::1    |  0.0147   |   0.0145    | 0.0146  |          1.01           |       1.01        |
| logical_xor::256    b::1 b::1 -> ?::1    |  0.0002   |   0.0002    | 0.0002  |           1.0           |       1.01        |
| logical_xor::4096   b::1 b::1 -> ?::1    |  0.0035   |   0.0035    | 0.0035  |           1.0           |        1.0        |
| logical_xor::16384  b::1 b::1 -> ?::1    |  0.0142   |   0.0142    | 0.0142  |           1.0           |        1.0        |
| logical_xor::256    h::1 h::1 -> ?::1    |  0.0002   |   0.0002    | 0.0002  |          1.01           |        1.0        |
| logical_xor::4096   h::1 h::1 -> ?::1    |  0.0036   |   0.0036    | 0.0036  |           1.0           |        1.0        |
| logical_xor::16384  h::1 h::1 -> ?::1    |  0.0142   |   0.0142    | 0.0142  |           1.0           |        1.0        |
| logical_xor::256    i::1 i::1 -> ?::1    |  0.0003   |   0.0003    | 0.0003  |           1.0           |        1.0        |
| logical_xor::4096   i::1 i::1 -> ?::1    |  0.0040   |   0.0040    | 0.0040  |           1.0           |        1.0        |
| logical_xor::16384  i::1 i::1 -> ?::1    |  0.0158   |   0.0158    | 0.0158  |           1.0           |        1.0        |
| logical_xor::256    l::1 l::1 -> ?::1    |  0.0002   |   0.0002    | 0.0002  |           1.0           |       1.01        |
| logical_xor::4096   l::1 l::1 -> ?::1    |  0.0037   |   0.0036    | 0.0036  |          1.02           |       1.02        |
| logical_xor::16384  l::1 l::1 -> ?::1    |  0.0146   |   0.0145    | 0.0146  |          1.01           |        1.0        |
| logical_xor::256    q::1 q::1 -> ?::1    |  0.0002   |   0.0002    | 0.0002  |           1.0           |        1.0        |
| logical_xor::4096   q::1 q::1 -> ?::1    |  0.0037   |   0.0037    | 0.0036  |           1.0           |       1.01        |
| logical_xor::16384  q::1 q::1 -> ?::1    |  0.0146   |   0.0146    | 0.0147  |           1.0           |       0.99        |
| multiply::256    B::1 B::1 -> B::1       |  0.0000   |   0.0001    | 0.0000  |          0.56           |        0.8        |
| multiply::4096   B::1 B::1 -> B::1       |  0.0004   |   0.0003    | 0.0003  |          1.51           |       1.43        |
| multiply::16384  B::1 B::1 -> B::1       |  0.0016   |   0.0011    | 0.0010  |          1.45           |       1.54        |
| multiply::256    H::1 H::1 -> H::1       |  0.0000   |   0.0000    | 0.0000  |          0.83           |        1.0        |
| multiply::4096   H::1 H::1 -> H::1       |  0.0003   |   0.0002    | 0.0003  |          1.46           |       1.13        |
| multiply::16384  H::1 H::1 -> H::1       |  0.0018   |   0.0011    | 0.0014  |           1.6           |       1.28        |
| multiply::256    I::1 I::1 -> I::1       |  0.0001   |   0.0000    | 0.0000  |          2.62           |       1.77        |
| multiply::4096   I::1 I::1 -> I::1       |  0.0013   |   0.0006    | 0.0007  |          2.17           |       1.81        |
| multiply::16384  I::1 I::1 -> I::1       |  0.0052   |   0.0023    | 0.0028  |          2.23           |       1.84        |
| multiply::256    L::1 L::1 -> L::1       |  0.0002   |   0.0001    | 0.0001  |          3.54           |       1.42        |
| multiply::4096   L::1 L::1 -> L::1       |  0.0029   |   0.0012    | 0.0020  |          2.36           |       1.47        |
| multiply::16384  L::1 L::1 -> L::1       |  0.0117   |   0.0049    | 0.0088  |          2.39           |       1.33        |
| multiply::256    Q::1 Q::1 -> Q::1       |  0.0002   |   0.0001    | 0.0001  |           3.5           |       1.42        |
| multiply::4096   Q::1 Q::1 -> Q::1       |  0.0026   |   0.0012    | 0.0017  |          2.15           |       1.53        |
| multiply::16384  Q::1 Q::1 -> Q::1       |  0.0150   |   0.0049    | 0.0079  |          3.06           |       1.89        |
| multiply::256    b::1 b::1 -> b::1       |  0.0000   |   0.0001    | 0.0000  |          0.55           |       0.81        |
| multiply::4096   b::1 b::1 -> b::1       |  0.0004   |   0.0003    | 0.0003  |           1.5           |       1.51        |
| multiply::16384  b::1 b::1 -> b::1       |  0.0015   |   0.0010    | 0.0010  |          1.52           |       1.61        |
| multiply::256    h::1 h::1 -> h::1       |  0.0000   |   0.0000    | 0.0000  |          1.36           |       0.85        |
| multiply::4096   h::1 h::1 -> h::1       |  0.0003   |   0.0002    | 0.0003  |          1.74           |       1.25        |
| multiply::16384  h::1 h::1 -> h::1       |  0.0018   |   0.0011    | 0.0014  |          1.63           |       1.27        |
| multiply::256    i::1 i::1 -> i::1       |  0.0001   |   0.0000    | 0.0000  |          3.04           |       1.78        |
| multiply::4096   i::1 i::1 -> i::1       |  0.0013   |   0.0006    | 0.0007  |           2.1           |       1.81        |
| multiply::16384  i::1 i::1 -> i::1       |  0.0048   |   0.0025    | 0.0024  |          1.94           |       1.95        |
| multiply::256    l::1 l::1 -> l::1       |  0.0002   |   0.0001    | 0.0001  |          2.67           |       1.39        |
| multiply::4096   l::1 l::1 -> l::1       |  0.0029   |   0.0012    | 0.0020  |           2.4           |       1.49        |
| multiply::16384  l::1 l::1 -> l::1       |  0.0117   |   0.0055    | 0.0080  |          2.13           |       1.47        |
| multiply::256    m::1 q::1 -> m::1       |  0.0003   |   0.0003    | 0.0003  |          0.99           |        1.0        |
| multiply::4096   m::1 q::1 -> m::1       |  0.0048   |   0.0048    | 0.0048  |           1.0           |        1.0        |
| multiply::16384  m::1 q::1 -> m::1       |  0.0193   |   0.0193    | 0.0193  |           1.0           |        1.0        |
| multiply::256    q::1 m::1 -> m::1       |  0.0002   |   0.0002    | 0.0002  |          1.16           |       1.02        |
| multiply::4096   q::1 m::1 -> m::1       |  0.0034   |   0.0034    | 0.0034  |           1.0           |        1.0        |
| multiply::16384  q::1 m::1 -> m::1       |  0.0128   |   0.0128    | 0.0128  |           1.0           |        1.0        |
| multiply::256    q::1 q::1 -> q::1       |  0.0002   |   0.0001    | 0.0001  |          2.59           |       1.39        |
| multiply::4096   q::1 q::1 -> q::1       |  0.0029   |   0.0012    | 0.0020  |          2.39           |       1.47        |
| multiply::16384  q::1 q::1 -> q::1       |  0.0117   |   0.0055    | 0.0080  |          2.11           |       1.46        |
| negative::256    B::1 -> B::1            |  0.0000   |   0.0000    | 0.0000  |          0.51           |       0.64        |
| negative::4096   B::1 -> B::1            |  0.0002   |   0.0001    | 0.0001  |          1.87           |       1.44        |
| negative::16384  B::1 -> B::1            |  0.0006   |   0.0003    | 0.0004  |          1.98           |       1.48        |
| negative::256    H::1 -> H::1            |  0.0000   |   0.0000    | 0.0000  |          0.94           |        1.2        |
| negative::4096   H::1 -> H::1            |  0.0003   |   0.0001    | 0.0002  |          2.37           |       1.66        |
| negative::16384  H::1 -> H::1            |  0.0012   |   0.0008    | 0.0019  |          1.45           |       0.62        |
| negative::256    I::1 -> I::1            |  0.0000   |   0.0000    | 0.0000  |          1.79           |       1.16        |
| negative::4096   I::1 -> I::1            |  0.0006   |   0.0003    | 0.0004  |          2.17           |       1.49        |
| negative::16384  I::1 -> I::1            |  0.0023   |   0.0016    | 0.0039  |          1.43           |        0.6        |
| negative::256    L::1 -> L::1            |  0.0001   |   0.0000    | 0.0001  |          2.13           |       1.44        |
| negative::4096   L::1 -> L::1            |  0.0012   |   0.0008    | 0.0020  |          1.46           |       0.62        |
| negative::16384  L::1 -> L::1            |  0.0048   |   0.0033    | 0.0077  |          1.46           |       0.63        |
| negative::256    Q::1 -> Q::1            |  0.0001   |   0.0000    | 0.0001  |          2.73           |       1.67        |
| negative::4096   Q::1 -> Q::1            |  0.0012   |   0.0008    | 0.0025  |          1.45           |        0.5        |
| negative::16384  Q::1 -> Q::1            |  0.0048   |   0.0033    | 0.0077  |          1.47           |       0.63        |
| negative::256    b::1 -> b::1            |  0.0000   |   0.0001    | 0.0000  |          0.28           |       0.59        |
| negative::4096   b::1 -> b::1            |  0.0002   |   0.0001    | 0.0001  |          1.86           |       1.53        |
| negative::16384  b::1 -> b::1            |  0.0006   |   0.0003    | 0.0004  |          2.12           |       1.38        |
| negative::256    h::1 -> h::1            |  0.0000   |   0.0000    | 0.0000  |           1.8           |       0.85        |
| negative::4096   h::1 -> h::1            |  0.0002   |   0.0001    | 0.0002  |          2.05           |       1.45        |
| negative::16384  h::1 -> h::1            |  0.0012   |   0.0008    | 0.0020  |          1.45           |       0.61        |
| negative::256    i::1 -> i::1            |  0.0000   |   0.0000    | 0.0000  |          1.53           |       1.17        |
| negative::4096   i::1 -> i::1            |  0.0006   |   0.0003    | 0.0004  |          2.13           |       1.31        |
| negative::16384  i::1 -> i::1            |  0.0021   |   0.0014    | 0.0019  |          1.51           |        1.1        |
| negative::256    l::1 -> l::1            |  0.0001   |   0.0000    | 0.0000  |          2.66           |       1.53        |
| negative::4096   l::1 -> l::1            |  0.0012   |   0.0008    | 0.0019  |          1.44           |       0.61        |
| negative::16384  l::1 -> l::1            |  0.0047   |   0.0033    | 0.0078  |          1.45           |        0.6        |
| negative::256    q::1 -> q::1            |  0.0001   |   0.0000    | 0.0000  |          2.58           |       1.53        |
| negative::4096   q::1 -> q::1            |  0.0012   |   0.0008    | 0.0020  |          1.45           |       0.61        |
| negative::16384  q::1 -> q::1            |  0.0047   |   0.0033    | 0.0078  |          1.45           |       0.61        |
| not_equal::256    B::1 B::1 -> ?::1      |  0.0000   |   0.0001    | 0.0000  |          0.37           |       0.49        |
| not_equal::4096   B::1 B::1 -> ?::1      |  0.0002   |   0.0001    | 0.0002  |           1.6           |        1.1        |
| not_equal::16384  B::1 B::1 -> ?::1      |  0.0007   |   0.0005    | 0.0006  |          1.36           |       1.25        |
| not_equal::256    H::1 H::1 -> ?::1      |  0.0000   |   0.0001    | 0.0000  |          0.47           |       1.13        |
| not_equal::4096   H::1 H::1 -> ?::1      |  0.0003   |   0.0002    | 0.0003  |          1.43           |       1.06        |
| not_equal::16384  H::1 H::1 -> ?::1      |  0.0013   |   0.0008    | 0.0011  |          1.59           |        1.2        |
| not_equal::256    I::1 I::1 -> ?::1      |  0.0001   |   0.0000    | 0.0001  |          2.24           |       1.12        |
| not_equal::4096   I::1 I::1 -> ?::1      |  0.0009   |   0.0004    | 0.0005  |          2.23           |        1.7        |
| not_equal::16384  I::1 I::1 -> ?::1      |  0.0035   |   0.0016    | 0.0022  |          2.15           |       1.61        |
| not_equal::256    L::1 L::1 -> ?::1      |  0.0002   |   0.0001    | 0.0001  |           2.3           |       1.75        |
| not_equal::4096   L::1 L::1 -> ?::1      |  0.0025   |   0.0007    | 0.0011  |          3.35           |        2.2        |
| not_equal::16384  L::1 L::1 -> ?::1      |  0.0097   |   0.0027    | 0.0045  |          3.58           |       2.18        |
| not_equal::256    Q::1 Q::1 -> ?::1      |  0.0002   |   0.0000    | 0.0001  |          4.57           |        1.9        |
| not_equal::4096   Q::1 Q::1 -> ?::1      |  0.0024   |   0.0007    | 0.0011  |          3.32           |       2.14        |
| not_equal::16384  Q::1 Q::1 -> ?::1      |  0.0098   |   0.0027    | 0.0045  |          3.59           |       2.17        |
| not_equal::256    b::1 b::1 -> ?::1      |  0.0000   |   0.0001    | 0.0000  |           0.4           |       0.59        |
| not_equal::4096   b::1 b::1 -> ?::1      |  0.0002   |   0.0001    | 0.0001  |          1.79           |       1.14        |
| not_equal::16384  b::1 b::1 -> ?::1      |  0.0007   |   0.0005    | 0.0006  |          1.31           |       1.25        |
| not_equal::256    h::1 h::1 -> ?::1      |  0.0000   |   0.0000    | 0.0000  |          1.55           |       0.68        |
| not_equal::4096   h::1 h::1 -> ?::1      |  0.0003   |   0.0002    | 0.0002  |          1.43           |       1.18        |
| not_equal::16384  h::1 h::1 -> ?::1      |  0.0013   |   0.0008    | 0.0011  |          1.67           |       1.17        |
| not_equal::256    i::1 i::1 -> ?::1      |  0.0001   |   0.0000    | 0.0001  |          2.29           |       1.11        |
| not_equal::4096   i::1 i::1 -> ?::1      |  0.0009   |   0.0004    | 0.0005  |          2.21           |        1.7        |
| not_equal::16384  i::1 i::1 -> ?::1      |  0.0034   |   0.0013    | 0.0022  |          2.65           |       1.56        |
| not_equal::256    l::1 l::1 -> ?::1      |  0.0002   |   0.0001    | 0.0001  |          2.33           |       2.18        |
| not_equal::4096   l::1 l::1 -> ?::1      |  0.0025   |   0.0007    | 0.0011  |          3.51           |       2.16        |
| not_equal::16384  l::1 l::1 -> ?::1      |  0.0098   |   0.0028    | 0.0044  |          3.55           |       2.23        |
| not_equal::256    q::1 q::1 -> ?::1      |  0.0002   |   0.0001    | 0.0001  |          2.32           |       2.24        |
| not_equal::4096   q::1 q::1 -> ?::1      |  0.0025   |   0.0007    | 0.0011  |          3.33           |       2.17        |
| not_equal::16384  q::1 q::1 -> ?::1      |  0.0097   |   0.0028    | 0.0045  |          3.52           |       2.19        |
| reciprocal::256    B::1 -> B::1          |  0.0002   |   0.0002    | 0.0002  |          0.98           |       1.12        |
| reciprocal::4096   B::1 -> B::1          |  0.0036   |   0.0026    | 0.0025  |          1.38           |       1.48        |
| reciprocal::16384  B::1 -> B::1          |  0.0147   |   0.0105    | 0.0098  |           1.4           |        1.5        |
| reciprocal::256    H::1 -> H::1          |  0.0002   |   0.0002    | 0.0002  |           1.0           |       1.22        |
| reciprocal::4096   H::1 -> H::1          |  0.0033   |   0.0026    | 0.0024  |          1.24           |       1.35        |
| reciprocal::16384  H::1 -> H::1          |  0.0132   |   0.0105    | 0.0097  |          1.26           |       1.36        |
| reciprocal::256    I::1 -> I::1          |  0.0004   |   0.0002    | 0.0002  |          2.19           |       1.59        |
| reciprocal::4096   I::1 -> I::1          |  0.0066   |   0.0026    | 0.0042  |          2.54           |       1.59        |
| reciprocal::16384  I::1 -> I::1          |  0.0264   |   0.0104    | 0.0166  |          2.55           |        1.6        |
| reciprocal::256    L::1 -> L::1          |  0.0003   |   0.0003    | 0.0003  |          1.05           |       1.06        |
| reciprocal::4096   L::1 -> L::1          |  0.0066   |   0.0064    | 0.0063  |          1.03           |       1.04        |
| reciprocal::16384  L::1 -> L::1          |  0.0259   |   0.0253    | 0.0253  |          1.02           |       1.02        |
| reciprocal::256    Q::1 -> Q::1          |  0.0003   |   0.0003    | 0.0003  |          1.04           |       1.05        |
| reciprocal::4096   Q::1 -> Q::1          |  0.0065   |   0.0064    | 0.0087  |          1.02           |       0.75        |
| reciprocal::16384  Q::1 -> Q::1          |  0.0260   |   0.0254    | 0.0253  |          1.03           |       1.03        |
| reciprocal::256    b::1 -> b::1          |  0.0002   |   0.0002    | 0.0002  |          1.01           |       1.18        |
| reciprocal::4096   b::1 -> b::1          |  0.0033   |   0.0027    | 0.0025  |          1.24           |       1.34        |
| reciprocal::16384  b::1 -> b::1          |  0.0132   |   0.0104    | 0.0097  |          1.27           |       1.36        |
| reciprocal::256    h::1 -> h::1          |  0.0002   |   0.0002    | 0.0002  |          1.14           |       1.13        |
| reciprocal::4096   h::1 -> h::1          |  0.0029   |   0.0026    | 0.0024  |          1.12           |       1.22        |
| reciprocal::16384  h::1 -> h::1          |  0.0136   |   0.0104    | 0.0097  |          1.31           |       1.41        |
| reciprocal::256    i::1 -> i::1          |  0.0002   |   0.0002    | 0.0002  |          0.95           |       0.94        |
| reciprocal::4096   i::1 -> i::1          |  0.0025   |   0.0026    | 0.0024  |          0.96           |       1.03        |
| reciprocal::16384  i::1 -> i::1          |  0.0097   |   0.0103    | 0.0097  |          0.94           |        1.0        |
| reciprocal::256    l::1 -> l::1          |  0.0003   |   0.0002    | 0.0003  |          1.78           |        1.0        |
| reciprocal::4096   l::1 -> l::1          |  0.0049   |   0.0026    | 0.0048  |          1.84           |        1.0        |
| reciprocal::16384  l::1 -> l::1          |  0.0194   |   0.0101    | 0.0194  |          1.93           |        1.0        |
| reciprocal::256    q::1 -> q::1          |  0.0003   |   0.0002    | 0.0003  |          1.79           |        1.0        |
| reciprocal::4096   q::1 -> q::1          |  0.0049   |   0.0025    | 0.0048  |          1.93           |        1.0        |
| reciprocal::16384  q::1 -> q::1          |  0.0194   |   0.0100    | 0.0194  |          1.93           |        1.0        |
| right_shift::256    B::1 B::1 -> B::1    |  0.0002   |   0.0001    | 0.0001  |          2.36           |       2.49        |
| right_shift::4096   B::1 B::1 -> B::1    |  0.0031   |   0.0006    | 0.0009  |          4.87           |       3.28        |
| right_shift::16384  B::1 B::1 -> B::1    |  0.0122   |   0.0023    | 0.0036  |          5.22           |       3.38        |
| right_shift::256    H::1 H::1 -> H::1    |  0.0002   |   0.0001    | 0.0000  |          3.55           |       4.33        |
| right_shift::4096   H::1 H::1 -> H::1    |  0.0032   |   0.0004    | 0.0007  |          7.58           |       4.43        |
| right_shift::16384  H::1 H::1 -> H::1    |  0.0129   |   0.0017    | 0.0029  |          7.43           |       4.49        |
| right_shift::256    I::1 I::1 -> I::1    |  0.0002   |   0.0000    | 0.0001  |           8.5           |       3.96        |
| right_shift::4096   I::1 I::1 -> I::1    |  0.0033   |   0.0006    | 0.0007  |           5.9           |       4.54        |
| right_shift::16384  I::1 I::1 -> I::1    |  0.0131   |   0.0022    | 0.0028  |          6.09           |       4.64        |
| right_shift::256    L::1 L::1 -> L::1    |  0.0002   |   0.0001    | 0.0001  |           4.0           |       2.29        |
| right_shift::4096   L::1 L::1 -> L::1    |  0.0034   |   0.0011    | 0.0015  |          3.13           |       2.32        |
| right_shift::16384  L::1 L::1 -> L::1    |  0.0138   |   0.0044    | 0.0067  |          3.15           |       2.07        |
| right_shift::256    Q::1 Q::1 -> Q::1    |  0.0002   |   0.0000    | 0.0001  |          4.49           |        2.3        |
| right_shift::4096   Q::1 Q::1 -> Q::1    |  0.0031   |   0.0011    | 0.0014  |          2.76           |       2.27        |
| right_shift::16384  Q::1 Q::1 -> Q::1    |  0.0155   |   0.0044    | 0.0059  |          3.55           |       2.63        |
| right_shift::256    b::1 b::1 -> b::1    |  0.0002   |   0.0001    | 0.0001  |          2.19           |       2.56        |
| right_shift::4096   b::1 b::1 -> b::1    |  0.0033   |   0.0006    | 0.0009  |          5.17           |       3.68        |
| right_shift::16384  b::1 b::1 -> b::1    |  0.0133   |   0.0023    | 0.0035  |          5.68           |       3.81        |
| right_shift::256    h::1 h::1 -> h::1    |  0.0003   |   0.0000    | 0.0001  |          8.89           |       4.84        |
| right_shift::4096   h::1 h::1 -> h::1    |  0.0048   |   0.0004    | 0.0007  |          11.08          |        7.0        |
| right_shift::16384  h::1 h::1 -> h::1    |  0.0193   |   0.0020    | 0.0033  |          9.72           |       5.93        |
| right_shift::256    i::1 i::1 -> i::1    |  0.0002   |   0.0000    | 0.0001  |          7.52           |       3.15        |
| right_shift::4096   i::1 i::1 -> i::1    |  0.0033   |   0.0006    | 0.0009  |          5.61           |       3.76        |
| right_shift::16384  i::1 i::1 -> i::1    |  0.0127   |   0.0020    | 0.0032  |          6.42           |       3.94        |
| right_shift::256    l::1 l::1 -> l::1    |  0.0002   |   0.0002    | 0.0002  |          1.23           |        1.0        |
| right_shift::4096   l::1 l::1 -> l::1    |  0.0035   |   0.0028    | 0.0034  |          1.26           |       1.01        |
| right_shift::16384  l::1 l::1 -> l::1    |  0.0138   |   0.0116    | 0.0138  |          1.19           |        1.0        |
| right_shift::256    q::1 q::1 -> q::1    |  0.0002   |   0.0002    | 0.0002  |           1.2           |        1.0        |
| right_shift::4096   q::1 q::1 -> q::1    |  0.0035   |   0.0028    | 0.0034  |          1.24           |        1.0        |
| right_shift::16384  q::1 q::1 -> q::1    |  0.0138   |   0.0116    | 0.0138  |          1.19           |        1.0        |
| square::256    B::1 -> B::1              |  0.0000   |   0.0000    | 0.0000  |          0.57           |       0.65        |
| square::4096   B::1 -> B::1              |  0.0003   |   0.0002    | 0.0002  |           1.6           |       1.51        |
| square::16384  B::1 -> B::1              |  0.0012   |   0.0008    | 0.0007  |          1.58           |       1.71        |
| square::256    H::1 -> H::1              |  0.0000   |   0.0000    | 0.0000  |          0.77           |       1.21        |
| square::4096   H::1 -> H::1              |  0.0003   |   0.0002    | 0.0002  |          1.66           |       1.48        |
| square::16384  H::1 -> H::1              |  0.0011   |   0.0009    | 0.0010  |          1.21           |       1.14        |
| square::256    I::1 -> I::1              |  0.0001   |   0.0000    | 0.0000  |          2.97           |       1.89        |
| square::4096   I::1 -> I::1              |  0.0011   |   0.0003    | 0.0004  |          3.54           |       2.71        |
| square::16384  I::1 -> I::1              |  0.0044   |   0.0018    | 0.0019  |           2.4           |       2.28        |
| square::256    L::1 -> L::1              |  0.0001   |   0.0000    | 0.0001  |          3.02           |       1.37        |
| square::4096   L::1 -> L::1              |  0.0023   |   0.0009    | 0.0016  |          2.44           |       1.44        |
| square::16384  L::1 -> L::1              |  0.0091   |   0.0037    | 0.0062  |          2.48           |       1.46        |
| square::256    Q::1 -> Q::1              |  0.0001   |   0.0000    | 0.0001  |          3.27           |       1.36        |
| square::4096   Q::1 -> Q::1              |  0.0023   |   0.0009    | 0.0024  |          2.45           |       0.93        |
| square::16384  Q::1 -> Q::1              |  0.0091   |   0.0037    | 0.0062  |          2.48           |       1.46        |
| square::256    b::1 -> b::1              |  0.0000   |   0.0000    | 0.0000  |           0.5           |       0.63        |
| square::4096   b::1 -> b::1              |  0.0003   |   0.0002    | 0.0002  |          1.18           |       1.43        |
| square::16384  b::1 -> b::1              |  0.0010   |   0.0007    | 0.0007  |          1.45           |       1.37        |
| square::256    h::1 -> h::1              |  0.0000   |   0.0000    | 0.0000  |          2.08           |       1.08        |
| square::4096   h::1 -> h::1              |  0.0005   |   0.0002    | 0.0002  |          2.83           |       1.89        |
| square::16384  h::1 -> h::1              |  0.0018   |   0.0009    | 0.0010  |          2.02           |       1.86        |
| square::256    i::1 -> i::1              |  0.0001   |   0.0000    | 0.0000  |          2.49           |       1.92        |
| square::4096   i::1 -> i::1              |  0.0011   |   0.0003    | 0.0004  |          3.58           |       2.75        |
| square::16384  i::1 -> i::1              |  0.0037   |   0.0015    | 0.0020  |           2.4           |       1.86        |
| square::256    l::1 -> l::1              |  0.0001   |   0.0000    | 0.0001  |          3.75           |       1.35        |
| square::4096   l::1 -> l::1              |  0.0023   |   0.0009    | 0.0016  |          2.45           |       1.46        |
| square::16384  l::1 -> l::1              |  0.0091   |   0.0037    | 0.0062  |          2.46           |       1.45        |
| square::256    q::1 -> q::1              |  0.0001   |   0.0000    | 0.0001  |          3.33           |       1.35        |
| square::4096   q::1 -> q::1              |  0.0023   |   0.0009    | 0.0016  |          2.45           |       1.45        |
| square::16384  q::1 -> q::1              |  0.0091   |   0.0037    | 0.0062  |          2.46           |       1.45        |
| subtract::256    B::1 B::1 -> B::1       |  0.0000   |   0.0000    | 0.0000  |          0.47           |       0.56        |
| subtract::4096   B::1 B::1 -> B::1       |  0.0002   |   0.0001    | 0.0002  |          1.36           |       1.09        |
| subtract::16384  B::1 B::1 -> B::1       |  0.0009   |   0.0006    | 0.0007  |          1.52           |       1.28        |
| subtract::256    H::1 H::1 -> H::1       |  0.0000   |   0.0000    | 0.0000  |          0.85           |       1.04        |
| subtract::4096   H::1 H::1 -> H::1       |  0.0003   |   0.0002    | 0.0003  |          1.63           |       1.17        |
| subtract::16384  H::1 H::1 -> H::1       |  0.0018   |   0.0011    | 0.0014  |          1.61           |       1.28        |
| subtract::256    I::1 I::1 -> I::1       |  0.0001   |   0.0000    | 0.0000  |          2.38           |       1.28        |
| subtract::4096   I::1 I::1 -> I::1       |  0.0009   |   0.0006    | 0.0007  |          1.59           |       1.28        |
| subtract::16384  I::1 I::1 -> I::1       |  0.0036   |   0.0022    | 0.0028  |          1.64           |       1.28        |
| subtract::256    L::1 L::1 -> L::1       |  0.0001   |   0.0001    | 0.0001  |          1.88           |       1.42        |
| subtract::4096   L::1 L::1 -> L::1       |  0.0018   |   0.0011    | 0.0014  |          1.64           |       1.28        |
| subtract::16384  L::1 L::1 -> L::1       |  0.0071   |   0.0044    | 0.0062  |          1.63           |       1.16        |
| subtract::256    Q::1 Q::1 -> Q::1       |  0.0001   |   0.0000    | 0.0001  |          1.99           |       1.39        |
| subtract::4096   Q::1 Q::1 -> Q::1       |  0.0013   |   0.0010    | 0.0013  |          1.32           |       1.05        |
| subtract::16384  Q::1 Q::1 -> Q::1       |  0.0093   |   0.0044    | 0.0056  |          2.12           |       1.66        |
| subtract::256    b::1 b::1 -> b::1       |  0.0000   |   0.0001    | 0.0000  |          0.39           |       0.56        |
| subtract::4096   b::1 b::1 -> b::1       |  0.0002   |   0.0001    | 0.0001  |           1.4           |       1.19        |
| subtract::16384  b::1 b::1 -> b::1       |  0.0008   |   0.0006    | 0.0007  |          1.47           |       1.18        |
| subtract::256    h::1 h::1 -> h::1       |  0.0000   |   0.0000    | 0.0000  |          1.71           |       0.96        |
| subtract::4096   h::1 h::1 -> h::1       |  0.0003   |   0.0002    | 0.0002  |          1.72           |       1.41        |
| subtract::16384  h::1 h::1 -> h::1       |  0.0018   |   0.0011    | 0.0014  |          1.64           |       1.28        |
| subtract::256    i::1 i::1 -> i::1       |  0.0001   |   0.0000    | 0.0001  |          2.44           |       0.98        |
| subtract::4096   i::1 i::1 -> i::1       |  0.0009   |   0.0006    | 0.0007  |           1.6           |       1.28        |
| subtract::16384  i::1 i::1 -> i::1       |  0.0034   |   0.0022    | 0.0024  |          1.56           |        1.4        |
| subtract::256    l::1 l::1 -> l::1       |  0.0001   |   0.0001    | 0.0001  |          1.86           |       1.09        |
| subtract::4096   l::1 l::1 -> l::1       |  0.0018   |   0.0011    | 0.0014  |          1.64           |       1.28        |
| subtract::16384  l::1 l::1 -> l::1       |  0.0071   |   0.0046    | 0.0056  |          1.55           |       1.28        |
| subtract::256    q::1 q::1 -> q::1       |  0.0001   |   0.0000    | 0.0001  |           2.1           |       1.09        |
| subtract::4096   q::1 q::1 -> q::1       |  0.0018   |   0.0011    | 0.0014  |          1.64           |       1.29        |
| subtract::16384  q::1 q::1 -> q::1       |  0.0071   |   0.0047    | 0.0056  |          1.53           |       1.28        |
+------------------------------------------+-----------+-------------+---------+-------------------------+-------------------+
